#-------------------------------------------
# Food Diary Report - Detailed Report,"Monday, June 1, 2020","Tuesday, June 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
   2 cups
 Dinner,569,24,6.14,42.71,12.83,12.26,46.74,1511.22,237,582
  Shrimp and White Beans with Fennel,390,11.48,1.922,32.63,8.9,8.23,37.83,1181,216,562
   1 serving
  Lantana Sriracha Carrot Hummus,98,5.89,,9.82,3.93,3.93,3.93,206.22,,
   55 g
  Cheddar Cheese,81,6.63,4.218,0.26,0,0.1,4.98,124,21,20
   20 g
 Snacks/Other,,,,,,,,,,

"Thursday, June 18, 2020",1906,51.13,14.538,263.57,15.7,32.87,96.69,4309,134,2660
 Breakfast,278,7.28,0.902,47.16,3.3,3.57,8.54,385,1,196
  Pasta Puttanesca with Linguini,278,7.28,0.902,47.16,3.3,3.57,8.54,385,1,196
   1/2 servings
 Lunch,12,0.24,0.024,0.47,0,0,1.42,24,0,557
  Coffee,12,0.24,0.024,0.47,0,0,1.42,24,0,557
   5 mugs (8 fl oz)
 Dinner,833,15.4,5.46,109.46,5.6,19.58,60.47,2329,112,1497
  Bread,452,5.59,1.219,86.04,4.1,7.33,12.99,1158,0,170
   170 g
  Fish Chowder,381,9.81,4.241,23.42,1.5,12.25,47.48,1171,112,1327
   2 cups
 Snacks/Other,783,28.21,8.152,106.48,6.8,9.72,26.26,1571,21,410
  Bread,532,6.58,1.434,101.22,4.8,8.62,15.28,1362,0,200
   200 g
  Great Value Mixed Nuts,170,15,2.5,5,2,1,6,85,0,190
"   1/4 cup, 1 oz"
  Cheddar Cheese,81,6.63,4.218,0.26,0,0.1,4.98,124,21,20
   20 g

"Friday, June 19, 2020",1193,42.8,5.463,139.04,29.5,52.14,67.66,4838.15,61,2110
 Breakfast,,,,,,,,,,
 Lunch,481,22.41,2.756,19.61,3.7,2.94,50.27,3819.65,61,510
  Crown Prince Flat Anchovies in Olive Oil,101,6.33,0,0,0,0,10.13,2659.65,38,0
   38 g
  Tuna in Oil (Canned),251,10.43,1.948,0,0,0,37,450,23,263
   127 g
  White Sweet Corn,77,1.06,0.164,17.12,2.4,2.9,2.9,14,0,243
"   1 ear, medium (6-3/4"" to 7-1/2"" long)"
  Olive Oil,40,4.5,0.621,0,0,0,0,0,0,0
   1 tsp
  Capers,2,0.09,0.023,0.49,0.3,0.04,0.24,296,0,4
   10 g
  Old El Paso Pickled Jalapeno Slices,10,0,0,2,1,0,0,400,0,
"   2 tbsp, 31 g"
 Dinner,493,15.89,2.707,76.73,18,15.8,12.79,845,0,1600
"  Cooked Cowpeas, Field Peas or Blackeye Peas",396,8.89,1.749,68.95,16.8,10.92,10.74,840,0,1418
   2 cups
  Serrano Pepper,4,0.05,0.007,0.82,0.5,0.5,0.21,1,0,37
   2 peppers
  Spice World Shallots,15,0,0,3,0,2,1,0,0,0
"   1 shallot, 30 g"
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
  Red Hot Chili Peppers,18,0.2,0.019,3.96,0.7,2.38,0.84,4,0,145
   1 pepper
 Snacks/Other,219,4.5,,42.7,7.8,33.4,4.6,173.5,0,
  Nature's Original Sun Dried Apricots,108,0,,26.4,3.6,22.8,1.2,12,0,
   48 g
  Lantana Sriracha Carrot Hummus,75,4.5,,7.5,3,3,3,157.5,,
"   1 1/2  x 2 tbsp, 42 g"
  Nature's Original Sun Dried Apricots,36,0,,8.8,1.2,7.6,0.4,4,0,
   16 g

"Saturday, June 20, 2020",1937,88.54,21.067,208.22,26.41,50.26,83.03,3578.55,231,2945.4
 Breakfast,207,14,0.71,16.78,6.71,6.71,8.5,368.55,0,71.4
  Lantana Sriracha Carrot Hummus,150,9,,15,6,6,6,315,,
"   3  x 2 tbsp, 84 g"
  Planters Dry Roasted Peanuts,57,5,0.71,1.78,0.71,0.71,2.5,53.55,0,71.4
   10 g
 Lunch,,,,,,,,,,
 Dinner,1403,58.41,11.237,161.6,18.3,11.41,57.84,3014,182,1995
  Creamed Spinach,222,13.53,3.582,17.91,4.5,6.12,9.99,558,9,1017
   1 1/2 cups
  Olive Oil,119,13.5,1.864,0,0,0,0,0,0,0
   1 tbsp
  Flour Tortilla,562,13.95,3.395,92.43,5.6,3.46,14.92,1145,0,279
   6 small (approx 6" dia)
  Hummus,319,15.46,2.021,36.22,7.2,0.83,8.75,436,0,311
   12 tbsps
  Shrimp,121,1.97,0.375,1.04,0,0,23.18,515,173,148
   14 large (shelled)
  Del Monte Whole New Potatoes,60,0,0,14,1,1,1,360,0,240
"   2 medium potatoes, 158 g"
 Snacks/Other,327,16.13,9.12,29.84,1.4,32.14,16.69,196,49,879
  Whole Milk,293,15.86,9.101,22.06,0,25.67,15.71,195,49,698
   2 cups
  Apricots,34,0.27,0.019,7.78,1.4,6.47,0.98,1,0,181
   2 apricots

"Sunday, June 21, 2020",1416,61.83,14.114,115.7,10,15.87,96.85,3514.4,140.85,1325
 Breakfast,,,,,,,,,,
 Lunch,167,10.73,4.842,10.77,2,0.23,7.43,192.4,17.85,86
  Trader Joe's Gruyere Cheese,79,6.43,4.28,0.71,0,0,5,71.4,17.85,
   20 g
  Hummus,88,4.3,0.562,10.06,2,0.23,2.43,121,0,86
   50 g
 Dinner,1122,49.68,9.002,79.44,5.8,7.66,85.77,3083,123,1023
  Olive Oil,159,18,2.485,0,0,0,0,0,0,0
   4 tsps
  Canned Salmon,286,12.46,3.054,0,0,0,40.82,1016,103,629
   7 oz
  Tuna in Oil (Canned),218,9.03,1.687,0,0,0,32.04,389,20,228
   110 g
  Bread,399,4.94,1.076,75.92,3.6,6.46,11.46,1022,0,150
   150 g
  Green Olives,49,5.21,0.69,1.31,1.1,0.18,0.35,529,0,14
   1 10 medium serving
  Capers,1,0.04,0.01,0.21,0.1,0.02,0.1,127,0,2
   1/2 tbsp drained
  Dole Green Onion,10,0,0,2,1,1,1,0,0,0
"   2 medium onions, 30 g"
 Snacks/Other,127,1.42,0.27,25.49,2.2,7.98,3.65,239,0,216
  Apricots,34,0.27,0.019,7.78,1.4,6.47,0.98,1,0,181
   2 apricots
  Bread,93,1.15,0.251,17.71,0.8,1.51,2.67,238,0,35
   35 g

"Monday, June 22, 2020",1354,37.47,14.898,209.52,16.35,55.12,50.75,2076.5,66,2450
 Breakfast,759,21.62,10.356,110.63,4.2,33.21,29.08,1387,49,873
