#-------------------------------------------
# Food Diary Report - Detailed Report,"Wednesday, July 1, 2020","Friday, July 31, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1706,50.37,219.07,75.06
Breakfast,317,11.04,44.1,12.06
Lunch,350,9.14,49.63,15.31
Dinner,682,21.42,82.02,32.71
Snacks/Other,356,8.77,43.32,14.98

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)
  Cherry Tomatoes,54,0.6,0.138,11.76,3.6,7.89,2.64,15,0,711
   300 g
 Dinner,583,29.9,11.098,52.06,3,50.67,29.97,216,75,1210
  Olive Oil,119,13.5,1.864,0,0,0,0,0,0,0
   1 tbsp
  Dole California Whole Pitted Dates,110,0,0,30,3,25,1,0,0,260
"   5-6 dates, 40 g"
  Tuna,61,0.54,0.133,0,0,0,13.26,21,26,252
   2 oz boneless
  Whole Milk,293,15.86,9.101,22.06,0,25.67,15.71,195,49,698
   2 cups
 Snacks/Other,567,16.46,9.239,93.82,9.6,83.56,20.35,210,49,1929
  Whole Milk,293,15.86,9.101,22.06,0,25.67,15.71,195,49,698
   2 cups
  Grape Tomatoes,54,0.6,0.138,11.76,3.6,7.89,2.64,15,0,711
   300 g
  Dole California Whole Pitted Dates,220,0,0,60,6,50,2,0,0,520
"   2  x 5-6 dates, 80 g"

"Monday, July 13, 2020",2293,68.54,35.599,350.21,49.7,79.73,77.07,2026,49,4084
 Breakfast,,,,,,,,,,
 Lunch,,,,,,,,,,
 Dinner,1119,33.3,14.214,177.11,28.3,36.51,32.66,1012,0,2097
  Tikka Chickpea Variation,552,18.79,12.122,79.01,20.2,17.44,22.28,814,0,1185
   1 serving
  Jasmine Rice,329,0.59,0.162,72.03,1.2,0.11,6.42,5,0,104
   1/2 cup dry
  Beets,106,0.42,0.066,23.52,6.9,16.63,3.96,192,0,800
   3 beets (2" dia)
  Olive Oil,119,13.5,1.864,0,0,0,0,0,0,0
   1 tbsp
  Balsamic Vinegar,13,0,0,2.55,0,2.33,0,1,0,8
   1 tbsp
 Snacks/Other,1174,35.24,21.385,173.1,21.4,43.22,44.41,1014,49,1987
  Tikka Chickpea Variation,552,18.79,12.122,79.01,20.2,17.44,22.28,814,0,1185
   1 serving
  Jasmine Rice,329,0.59,0.162,72.03,1.2,0.11,6.42,5,0,104
   1/2 cup dry
  Whole Milk,293,15.86,9.101,22.06,0,25.67,15.71,195,49,698
   2 cups

"Tuesday, July 14, 2020",1355,40.41,5.223,198.66,23.3,98.75,64.22,1636,19,2332
 Breakfast,142,7.17,0.99,16.71,4.6,11.59,3.74,142,0,867
  Beets,71,0.28,0.044,15.68,4.6,11.09,2.64,128,0,533
   2 beets (2" dia)
  Spice World Shallots,4,0,0,0.75,0,0.5,0.25,0,0,0
"   1/4  x 1 shallot, 8 g"
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Lunch,513,10.51,0.602,86.95,7.7,10.16,19.51,968,0,265
  Lantana Yellow Lentil Hummus,120,8,,10,4,2,4,250,0,
"   2  x 2 tbsp, 56 g"
  Bagel,386,2.43,0.59,75.75,3.3,7.58,15.03,672,0,112
   150 g
  Pickled Vegetables,5,0.03,0.007,1.11,0.4,0.58,0.2,41,0,42
   0.12 cup
  Coffee,2,0.05,0.005,0.09,0,0,0.28,5,0,111
   1 mug (8 fl oz)
 Dinner,480,22.73,3.631,35,5,27,38.97,526,19,680
  Planters Dry Roasted Peanuts,160,14,2,5,2,2,7,150,0,200
"   39 pieces, 28 g"
  Tuna in Oil (Canned),210,8.73,1.631,0,0,0,30.97,376,19,220
   3 3/4 oz
  Dole California Whole Pitted Dates,110,0,0,30,3,25,1,0,0,260
"   5-6 dates, 40 g"
 Snacks/Other,220,0,0,60,6,50,2,0,0,520
  Dole California Whole Pitted Dates,220,0,0,60,6,50,2,0,0,520
"   2  x 5-6 dates, 80 g"

"Wednesday, July 15, 2020",1924,24.42,8.19,253.1,21.5,131.31,50.15,1376.5,42,2166
 Breakfast,,,,,,,,,,
 Lunch,646,12.43,0.59,118.25,11.3,35.08,21.03,984.5,0,372
  Dole California Whole Pitted Dates,110,0,0,30,3,25,1,0,0,260
"   5-6 dates, 40 g"
  Bagel,386,2.43,0.59,75.75,3.3,7.58,15.03,672,0,112
   150 g
  Lantana Yellow Lentil Hummus,150,10,,12.5,5,2.5,5,312.5,0,
"   2 1/2  x 2 tbsp, 70 g"
 Dinner,832,8.89,5.6,36.77,1.2,19.15,15.62,246,30,523
  Sauvignon Blanc Wine,609,0,,15.23,,,0.52,,,
   750 ml
  Cheddar Cheese,69,5.63,3.586,0.22,0,0.09,4.23,106,18,17
   17 g
  Plain Yogurt,126,3.1,2,14.08,0,14.08,10.5,140,12,468
   200 g
  Blueberries,28,0.16,0.014,7.24,1.2,4.98,0.37,0,0,38
   50 g
 Snacks/Other,446,3.1,2,98.08,9,77.08,13.5,146,12,1271
  Dole California Whole Pitted Dates,110,0,0,30,3,25,1,0,0,260
"   5-6 dates, 40 g"
  Plain Yogurt,126,3.1,2,14.08,0,14.08,10.5,140,12,468
   200 g
  Dole California Whole Pitted Dates,110,0,0,30,3,25,1,0,0,260
"   5-6 dates, 40 g"
  Sunsweet Dried Pitted Prunes,100,0,0,24,3,13,1,6,0,283
"   5 prunes, 40 g"

"Thursday, July 16, 2020",1767,66.32,22.587,182.1,13.5,45.85,111.81,1851,319,3206
 Breakfast,7,0.14,0.014,0.28,0,0,0.85,14,0,334
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Lunch,400,13.83,8.558,68.48,4.8,36.89,7.92,79,37,1153
  Ripe Plantain,218,0.66,0.256,57.08,4.1,26.85,2.33,7,0,893
   1 medium
  Butter,102,11.52,7.294,0.01,0,0.01,0.12,2,31,3
   1 tbsp
  Plain Yogurt,63,1.55,1,7.04,0,7.04,5.25,70,6,234
   100 g
  Blueberries,17,0.1,0.008,4.35,0.7,2.99,0.22,0,0,23
   30 g
 Dinner,880,30.21,10.075,112.99,8.7,8.88,36.92,1356,148,434
  Shrimp,82,1.33,0.253,0.7,0,0,15.67,348,117,100
"   4 oz, with shell raw (yield after cooking, shell removed)"
  Spaghetti,502,2.95,0.56,98.18,5.8,1.79,18.43,742,0,144
"   4 oz, dry, yields"
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
  Green Giant Whole Kernel Sweet Corn,60,0.5,0,11,2,5,2,260,0,
"   1/2 cup, 123 g"
  Grape Tomatoes,14,0.16,0.036,3.1,0.9,2.08,0.7,4,0,187
   10 grape
  Pompeian Grapeseed Oil,60,7,1,0,0,0,0,0,0,
"   1/2  x 1 tbsp, 7.5 ml"
  Butter,102,11.52,7.294,0.01,0,0.01,0.12,2,31,3
   1 tbsp
 Snacks/Other,480,22.14,3.94,0.35,0,0.08,66.12,402,134,1285
  Cooked Tuna,130,3.37,0.69,0.35,0,0.08,23.22,311,45,446
   3 oz boneless
  Trader Joe's Grapeseed Oil,60,7,0.75,0,,,0,0,0,
"   1/2  x 1 tbsp, 7.5 ml"
  Salmon,290,11.77,2.5,0,0,0,42.9,91,89,839
   7 oz boneless

"Friday, July 17, 2020",2484,61.51,15.501,170.5,17.5,46.77,91.03,2044,182,1803
