#-------------------------------------------
# Food Diary Report - Detailed Report,"Sunday, March 1, 2020","Tuesday, March 31, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
  Brown Sugar,23,0,0,5.84,0,5.77,0,2,0,21
   2 tsps unpacked
  So Delicious Coconut Milk Unsweetened,11,1.12,1,0.5,0.25,0,0,0,0,10
"   1/4  x 1 cup, 60 ml"
  Butter,51,5.76,3.647,0,0,0,0.06,1,15,2
   1/2 tbsp
 Snacks/Other,432,11.53,5.565,66.02,3.8,7.16,15.59,991,23,147
  Cheddar Cheese,89,7.29,4.64,0.28,0,0.11,5.48,137,23,22
   22 g
  Grape Tomatoes,11,0.13,0.029,2.48,0.8,1.66,0.56,3,0,
   8 grape
  Bread,332,4.11,0.896,63.26,3,5.39,9.55,851,0,125
   125 g

"Saturday, March 28, 2020",1961,40.13,7.338,268.09,13.6,55.68,122.9,2971,153,3931
 Breakfast,,,,,,,,,,
