date,weight,calories,fat,saturated,carbohydrate,fiber,sugar,protein,sodium,cholesterol,potassium
"2020-08-31",208.8,2780.0,45.52,6.304,297.12,104.0,73.98,99.44,6266.0,0.0,4884.0
"2020-09-01",209.7,2983.0,42.91,20.641,253.57,8.2,68.47,61.18,2753.0,98.0,2445.0
"2020-09-02",208.3,1531.0,62.63,17.996,152.56,18.4,12.33,68.93,2357.0,307.0,2332.0
"2020-09-03",209.4,1746.0,55.53,13.541,112.15,9.4,12.02,60.72,1786.0,46.0,2242.0
"2020-09-04",206.6,2950.0,65.88,36.77,383.95,26.9,38.23,61.6,5314.0,9.0,3152.0
"2020-09-05",209.9,1740.0,35.7,14.327,105.01,9.84,40.19,31.76,1019.57,57.0,811.78
"2020-09-06",207.2,1391.0,45.95,11.371,190.12,14.84,76.52,61.05,2285.84,98.5,1695.56
"2020-09-07",208.8,329.0,0.0,0.0,27.16,0.0,0.0,3.52,31.0,0.0,207.0
"2020-09-08",206.7,1545.0,51.13,15.177,217.3,21.2,36.52,52.94,2491.0,56.0,1170.0
"2020-09-09",207.7,1256.0,48.73,18.113,132.62,15.91,12.46,71.62,2167.55,87.0,732.4
"2020-09-10",206.8,1606.0,68.46,32.071,129.7,17.6,26.93,114.3,4286.0,761.0,1056.0
"2020-09-11",,,,,,,,,,,
"2020-09-12",206.6,,,,,,,,,,
"2020-09-13",205.5,1400.0,67.62,17.398,74.96,5.5,17.24,76.76,2672.0,712.0,784.0
"2020-09-14",205.5,391.0,30.2,8.791,10.6,2.6,4.22,18.8,1038.0,48.0,862.0
"2020-09-15",208.1,2401.0,68.21,24.694,141.65,7.6,19.74,88.02,3043.0,499.0,1340.0
"2020-09-16",207.9,1224.0,56.76,23.389,103.92,4.0,8.97,74.21,2876.0,505.0,420.0
"2020-09-17",207.9,,,,,,,,,,
"2020-09-18",206.4,,,,,,,,,,
"2020-09-19",206.6,1159.0,46.03,15.873,146.95,15.8,10.18,43.06,2988.0,66.0,867.0
"2020-09-20",204.8,2383.0,60.77,35.546,128.48,4.0,4.5,55.16,2742.64,122.0,1048.0
"2020-09-21",207.2,999.0,52.87,18.674,92.77,7.23,12.03,41.17,1805.1,471.0,841.8
"2020-09-22",205.4,1519.0,48.22,15.715,210.75,30.63,33.55,64.55,3345.1,441.0,1050.8
"2020-09-23",203.9,1889.0,36.32,13.485,214.18,11.6,6.76,72.4,2411.0,219.0,1255.0
"2020-09-24",204.8,2011.0,25.32,4.697,147.46,8.9,13.0,25.96,1619.0,212.0,1033.0
"2020-09-25",205.5,1317.0,53.15,17.471,130.91,11.7,21.32,63.8,2912.0,77.0,1195.0
"2020-09-26",206.4,2129.0,55.28,14.199,205.26,30.2,52.14,76.11,1665.0,61.0,3544.0
"2020-09-27",206.3,,,,,,,,,,
"2020-09-28",203.9,1933.0,54.45,13.738,173.17,10.2,13.14,79.99,3250.48,99.65,2342.4
"2020-09-29",203.7,1236.0,16.59,2.537,81.86,18.2,7.8,19.81,1192.0,0.0,858.0
"2020-09-30",207.7,,,,,,,,,,
"2020-10-01",205.5,,,,,,,,,,
"2020-10-02",203.9,2162.0,65.74,23.42,131.53,3.0,9.05,156.64,3131.0,391.0,1152.0
"2020-10-03",207.0,2465.0,47.52,16.234,92.25,2.0,2.2,122.23,2329.0,101.0,1073.0
"2020-10-04",205.3,1640.0,39.96,14.178,130.12,11.0,12.51,101.06,1616.0,171.0,2639.0
"2020-10-05",203.7,933.0,44.08,24.422,85.2,13.5,35.05,48.6,4280.05,155.76,1412.0
"2020-10-06",203.7,1241.0,35.51,15.751,175.46,37.8,25.75,57.36,4098.0,72.0,3475.0
"2020-10-07",201.9,1597.0,100.21,42.505,86.49,3.6,22.25,82.46,3292.91,164.0,1160.0
"2020-10-08",202.4,1483.0,68.57,27.872,146.64,12.5,47.09,79.77,2016.36,196.35,1010.0
"2020-10-09",203.9,1435.0,35.22,10.5,222.33,12.4,20.19,50.46,1662.0,29.0,206.0
"2020-10-10",204.4,2821.0,131.45,43.043,269.14,48.4,61.55,148.91,3241.0,189.0,4525.0
"2020-10-11",204.5,1871.0,68.13,24.067,136.55,20.2,4.51,79.47,1381.0,113.0,2355.0
"2020-10-12",203.7,2824.0,58.21,2.181,262.12,34.2,12.82,57.25,3601.0,0.0,194.0
"2020-10-13",204.1,939.0,38.27,14.453,93.93,7.0,12.43,58.44,1363.0,164.0,979.0
"2020-10-14",203.3,2696.0,32.16,12.187,267.49,26.2,28.02,72.42,4643.0,52.0,2013.0
"2020-10-15",203.7,1060.0,54.9,17.746,119.23,13.64,22.97,28.63,1140.6,63.0,1553.34
"2020-10-16",201.5,1392.0,68.87,20.885,157.76,12.4,34.8,46.97,1702.0,76.0,1025.0
"2020-10-17",203.5,1459.0,60.04,25.127,137.17,9.3,32.41,46.51,1689.0,525.0,839.0
"2020-10-18",202.2,1644.0,60.27,19.546,96.5,5.6,12.18,56.15,1526.0,983.0,1070.0
"2020-10-19",202.8,1657.0,74.04,34.461,142.47,15.8,17.56,99.62,4352.8,1123.0,1126.0
"2020-10-20",203.5,1803.0,20.64,0.1,40.11,12.4,0.12,14.71,988.0,0.0,571.0
"2020-10-21",203.9,2094.0,59.11,31.983,140.24,3.5,22.02,117.24,1848.44,809.82,804.0
"2020-10-22",203.0,1694.0,18.35,10.737,131.21,7.5,10.22,20.04,1641.0,0.0,1090.0
"2020-10-23",201.7,1493.0,73.27,23.235,102.99,10.0,14.2,104.45,1393.1,529.0,1965.0
"2020-10-24",201.2,2493.0,44.67,10.078,108.98,11.4,45.89,75.42,2066.0,255.0,2158.0
"2020-10-25",201.2,2201.0,108.15,39.358,132.75,12.9,55.61,169.46,3489.43,862.08,2483.5
"2020-10-26",200.6,1241.0,50.5,23.669,155.65,13.59,38.34,45.25,3643.84,51.71,1835.0
"2020-10-27",201.1,1797.0,24.72,4.666,75.73,8.8,12.47,21.79,241.0,0.0,690.5
"2020-10-28",200.4,1651.0,26.85,12.56,42.37,0.9,2.18,28.96,329.84,658.1,769.0
"2020-10-29",198.8,1319.0,91.4,26.844,54.35,18.4,14.36,77.16,1031.48,686.44,2189.0
"2020-10-30",200.2,2511.0,91.64,31.204,150.46,7.0,17.76,135.99,4784.18,775.23,1465.0
"2020-10-31",,2231.0,56.05,25.461,199.07,16.7,18.45,102.36,3599.52,91.06,2495.0
"2020-11-01",200.0,2740.0,70.61,19.254,110.7,4.3,22.23,150.9,4841.0,989.0,2002.0
"2020-11-02",198.6,2367.0,63.5,16.5,128.0,4.0,18.0,100.0,3870.0,390.0,90.0
"2020-11-03",202.6,2695.0,89.46,67.151,154.65,8.5,21.7,46.01,451.26,640.0,3618.0
"2020-11-04",200.8,1460.0,51.17,19.915,196.39,24.1,30.68,60.27,2708.0,413.0,2207.0
"2020-11-05",201.3,,,,,,,,,,
"2020-11-06",202.2,2187.0,75.42,30.836,106.56,2.5,3.81,117.18,1761.0,383.0,2344.0
"2020-11-07",202.4,1919.0,37.58,13.446,145.14,8.5,24.83,43.63,1345.0,345.0,923.0
"2020-11-08",199.5,1729.0,66.2,26.539,132.29,11.8,39.89,103.94,2192.6,294.0,3069.8
"2020-11-09",200.1,2067.0,39.47,21.66,118.25,6.6,41.28,38.56,1766.0,84.0,1526.0
"2020-11-10",201.3,1511.0,63.77,24.604,106.82,8.6,22.53,60.12,2124.0,739.0,962.0
"2020-11-11",200.6,1327.0,77.94,28.055,101.65,25.7,19.29,60.59,1910.5,734.0,1909.0
"2020-11-12",200.1,1855.0,57.24,27.778,71.13,8.2,4.73,57.62,2099.0,666.0,1241.0
"2020-11-13",201.1,1746.0,13.18,5.154,26.83,0.0,0.77,15.92,174.0,432.0,339.0
"2020-11-14",199.3,1914.0,78.27,24.455,144.73,15.4,13.75,88.95,3444.0,329.0,1157.0
"2020-11-15",199.7,2056.0,23.33,7.747,175.14,4.4,15.29,56.42,2177.0,20.0,1146.0
"2020-11-16",199.9,1802.0,46.09,17.643,132.44,6.2,6.41,72.84,1486.0,115.0,1846.0
"2020-11-17",199.9,1982.0,62.3,19.071,152.86,20.5,12.85,71.94,3032.0,65.0,1190.0
"2020-11-18",201.7,1592.0,50.36,23.048,155.32,14.9,10.67,49.46,1731.0,89.0,1276.0
"2020-11-19",200.6,1656.0,75.7,34.769,137.22,8.0,11.21,101.29,2893.4,781.85,625.5
"2020-11-20",199.1,3368.0,71.06,21.324,290.2,17.2,47.66,83.9,2169.0,24.0,868.0
"2020-11-21",200.8,2284.0,31.6,4.63,186.21,9.7,26.99,58.84,2064.0,64.0,842.0
"2020-11-22",199.1,1423.0,17.99,5.9,178.39,9.1,12.98,37.13,1156.0,19.0,782.0
"2020-11-23",198.6,1677.0,20.0,12.0,89.73,0.0,20.56,59.06,1646.0,80.0,1317.0
"2020-11-24",199.3,1420.0,81.97,28.513,104.2,9.6,11.1,71.04,1782.0,0.0,535.0
"2020-11-25",200.6,,,,,,,,,,
"2020-11-26",,,,,,,,,,,
"2020-11-27",202.2,,,,,,,,,,
"2020-11-28",200.4,1487.0,43.56,25.516,208.3,17.8,19.62,63.33,2615.0,118.0,1159.0
"2020-11-29",198.9,1382.0,70.09,27.197,109.53,7.1,30.4,80.05,2421.0,145.0,1116.0
"2020-11-30",198.9,2644.0,70.62,30.118,243.94,23.9,59.85,105.26,2213.0,137.0,4463.0
"2020-12-01",198.6,2268.0,41.59,14.771,168.17,12.73,6.54,78.64,2858.68,72.0,600.43
"2020-12-02",200.6,2183.0,53.67,22.779,204.9,40.3,47.51,51.13,2666.0,124.0,4370.0
"2020-12-03",201.9,1865.0,98.95,38.542,139.72,12.37,39.39,102.74,1990.75,570.72,1273.07
"2020-12-04",202.2,,,,,,,,,,
"2020-12-05",202.2,,,,,,,,,,
"2020-12-06",200.4,2120.0,29.56,6.578,133.07,2.0,7.33,95.78,1450.0,464.0,1925.0
"2020-12-07",199.7,1499.0,17.76,3.502,68.5,14.6,3.06,45.97,1024.25,60.25,84.5
"2020-12-08",198.4,216.0,4.58,1.732,36.5,3.9,2.22,8.02,699.0,1.0,221.0
"2020-12-09",198.0,2280.0,46.63,5.597,169.57,11.0,12.6,157.25,5591.0,239.0,1855.0
"2020-12-10",198.6,,,,,,,,,,
"2020-12-11",199.7,,,,,,,,,,
"2020-12-12",203.3,1344.0,29.44,7.522,235.52,43.6,29.19,42.7,2205.0,0.0,3304.0
"2020-12-13",200.2,1669.0,60.83,20.743,219.9,26.6,21.19,60.18,1909.83,73.28,2086.0
"2020-12-14",200.8,1428.0,61.85,16.44,170.67,17.1,12.3,48.49,2629.0,51.0,1809.0
"2020-12-15",198.8,1819.0,44.41,14.553,236.05,28.2,22.21,116.83,3932.0,550.0,3353.0
"2020-12-16",198.6,1669.0,47.83,4.319,198.1,17.74,39.32,113.73,4622.62,327.0,2523.0
"2020-12-17",198.1,1599.0,59.16,24.719,178.88,17.2,61.47,89.68,1724.0,532.0,3250.0
"2020-12-18",196.7,2228.0,80.77,28.081,235.73,29.8,59.09,143.9,3101.0,158.0,3383.0
"2020-12-19",,1633.0,51.0,25.598,211.67,20.4,41.52,79.05,3584.0,71.0,2187.0
"2020-12-20",197.3,1631.0,59.81,29.847,189.62,18.3,45.35,82.88,3878.0,142.0,2212.0
"2020-12-21",197.3,1725.0,78.42,21.449,161.53,23.5,34.01,87.69,3117.12,505.9,1460.5
"2020-12-22",197.3,1827.0,79.0,27.701,215.13,28.76,75.75,63.3,2437.4,494.0,2428.66
"2020-12-23",198.9,2059.0,92.6,42.236,215.17,19.5,61.57,91.73,1743.78,236.02,2440.02
"2020-12-24",199.3,1340.0,65.57,27.178,139.5,17.86,25.52,52.32,1772.4,513.0,2354.66
"2020-12-25",197.0,,,,,,,,,,
"2020-12-26",197.0,2152.0,63.13,32.373,354.31,31.14,57.19,50.6,3552.96,12.0,3109.0
