#-------------------------------------------
# Food Diary Report - Detailed Report,"Wednesday, April 1, 2020","Thursday, April 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
  Cheddar Cheese,222,18.23,11.601,0.7,0,0.29,13.7,342,58,54
   55 g
  King Oscar Anchovies,20,1,0.34,0,0,0,2.68,603,6.7,
"   2/3  x 6 fillets , 10 g"
  Dried Prune,81,0.13,0.03,21.46,2.4,12.81,0.73,1,0,246
   4 prunes
  Roasted Salted Cashew Nuts,82,6.77,1.202,4.28,0.5,0.71,2.39,44,0,90
   1/2 oz (18 kernels)
 Snacks/Other,,,,,,,,,,

"Wednesday, April 15, 2020",1462,43.37,7.858,194.61,21.4,20.69,84.11,1777,165,2842
 Breakfast,,,,,,,,,,
 Lunch,287,9.64,1.81,42.48,2.3,3.98,8.26,557,0,170
  Bread,200,2.47,0.538,37.96,1.8,3.23,5.73,511,0,75
   75 g
  Roasted Salted Cashew Nuts,87,7.17,1.272,4.52,0.5,0.75,2.53,46,0,95
   15 g
 Dinner,1175,33.73,6.048,152.13,19.1,16.71,75.85,1220,165,2672
  Capers,5,0.2,0.054,1.12,0.7,0.09,0.54,681,0,9
   2 2/3 tbsps drained
  Olive Oil,159,17.96,2.479,0,0,0,0,0,0,0
   1 1/3 tbsps
  Carrots,39,0.23,0.035,9.17,2.7,4.35,0.89,66,0,306
   1 1/3 large (7-1/4" to 8-1/2" long)
  Garlic,30,0.1,0.018,6.62,0.4,0.2,1.27,3,0,80
   6 2/3 cloves
  Red Tomatoes (Canned),45,0.34,0.048,10.34,2.4,6.77,2.12,339,0,497
   9 1/3 oz
  Tomato Paste,26,0.15,0.032,6.05,1.4,3.33,1.38,31,0,324
   2 tbsps
  Kroger Red Wine Vinegar,0,0,0,0,0,0,0,0,0,0
"   1 1/3  x 1 tbsp, 20 ml"
  Great Value Lentils,220,0,0,44,8,,18,0,0,480
"   2  x 1/4 cup dry, 70 g"
  Salmon,248,10.09,2.143,0,0,0,36.78,78,77,720
   6 oz boneless
  Dry Egg Noodles,403,4.66,1.239,74.83,3.5,1.97,14.87,22,88,256
   105 g
 Snacks/Other,,,,,,,,,,

"Thursday, April 16, 2020",1310,76.42,28.679,108.56,6.6,17.71,62.16,1555,722,511
 Breakfast,,,,,,,,,,
 Lunch,,,,,,,,,,
 Dinner,869,39.73,19.446,79.57,3.4,9.2,46.81,1211,701,368
  Bagel,396,2.49,0.605,77.77,3.4,7.78,15.43,690,0,116
   154 g
  Cheddar Cheese,202,16.57,10.546,0.64,0,0.26,12.45,310,52,49
   50 g
  Butter,51,5.76,3.647,0,0,0,0.06,1,15,2
   1/2 tbsp
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   3 large
 Snacks/Other,441,36.69,9.233,28.99,3.2,8.51,15.35,344,21,143
  Great Value Cashew Halves & Pieces,160,15,2.5,9,1,1,5,110,0,0
"   1/4 cup, 1 oz"
  Great Value Cashew Halves & Pieces,160,15,2.5,9,1,1,5,110,0,0
"   1/4 cup, 1 oz"
  Dried Prune,40,0.06,0.015,10.73,1.2,6.41,0.37,0,0,123
   2 prunes
  Cheddar Cheese,81,6.63,4.218,0.26,0,0.1,4.98,124,21,20
   20 g

"Friday, April 17, 2020",1597,67.68,18.18,182.35,21.3,19.35,75.91,3792.5,120.5,889
 Breakfast,738,23.42,11.152,75.04,3.6,8.97,58.14,885.5,120.5,136
  Bagel,352,2.22,0.538,69.18,3,6.92,13.73,614,0,103
   137 g
  Port Side Salmon,195,7.5,3,0,0,0,33,127.5,82.5,0
"   1 1/2  x 1 fillet, 6 oz"
  Red Onions,15,0.03,0.009,3.54,0.5,1.5,0.32,1,0,
   35 g
  Capers,0,0.02,0.005,0.11,0.1,0.01,0.05,64,0,1
   1/4 tbsp drained
  Swiss Cheese,156,11.4,7.289,2.21,0,0.54,11.04,79,38,32
   41 g
  Olive Oil,20,2.25,0.311,0,0,0,0,0,0,0
   1/2 tsp
 Lunch,,,,,,,,,,
 Dinner,859,44.26,7.028,107.31,17.7,10.38,17.77,2907,0,753
