#-------------------------------------------
# Food Diary Report - Detailed Report,"Tuesday, September 1, 2020","Wednesday, September 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
  Spice World Shallots,15,0,0,3,0,2,1,0,0,0
"   1 shallot, 30 g"
 Lunch,449,18.15,10.117,53.42,2.2,5.56,18.98,1163,37,73
  Mission Soft Taco Flour Tortillas (Medium),280,7,3,48,2,2,8,840,0,
"   2 x 1 tortilla, 98 g"
  Swiss Cheese ,152,11.12,7.112,2.15,0,0.53,10.77,77,37,31
   40 g
  Spinach ,2,0.03,0.005,0.27,0.2,0.03,0.21,6,0,42
   1/4 cup
  Huy Fong Foods Sriracha Hot Chili Sauce,15,0,,3,0,3,0,240,0,
"   3 x 1 tsp, 15 g"
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Tuesday, September 22, 2020",512,24.31,6.908,52.67,2.7,5.11,21.98,1061,423,473
 Breakfast,512,24.31,6.908,52.67,2.7,5.11,21.98,1061,423,473
  Mission Soft Taco Flour Tortillas (Medium),280,7,3,48,2,2,8,840,0,
"   2 x 1 tortilla, 98 g"
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large
  Trader Joe's Grapeseed Oil,60,7,0.75,0,,,0,0,0,
"   1/2 x 1 tbsp, 7.5 ml"
  Hoisin Sauce ,9,0.14,0.023,1.76,0.1,1.09,0.13,65,0,5
   1/4 tbsp
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
  Grape Tomatoes,9,0.09,0.022,1.86,0.6,1.25,0.42,2,0,
   6 grape
 Lunch,,,,,,,,,,
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

Total,27425,873.69,329.85,2452.57,190.29,404.23,1001.78,42609.6,4365.5,22336.74
