date,start,finish,state
"2020-08-18",66480,66780,"restless"
"2020-08-18",66780,68580,"asleep"
"2020-08-18",68580,68760,"restless"
"2020-08-18",68760,70500,"asleep"
"2020-08-19",4830,4950,"awake"
"2020-08-19",4950,5130,"restless"
"2020-08-19",5130,5610,"asleep"
"2020-08-19",5610,5910,"restless"
"2020-08-19",5910,6090,"asleep"
"2020-08-19",6090,6150,"restless"
"2020-08-19",6150,10950,"asleep"
"2020-08-19",17730,18930,"light"
"2020-08-19",18930,19140,"wake"
"2020-08-19",19140,22380,"light"
"2020-08-19",22380,23820,"wake"
"2020-08-19",23820,26820,"light"
"2020-08-19",26820,27150,"deep"
"2020-08-19",27150,27630,"light"
"2020-08-19",27630,28050,"deep"
"2020-08-19",28050,28170,"light"
"2020-08-19",28170,29550,"rem"
"2020-08-19",29550,30000,"light"
"2020-08-19",30000,31050,"wake"
"2020-08-19",31050,34800,"light"
"2020-08-19",34800,35730,"deep"
"2020-08-19",35730,35880,"light"
"2020-08-19",35880,36810,"rem"
"2020-08-19",36810,38100,"light"
"2020-08-19",38100,39030,"wake"
"2020-08-19",39030,42180,"light"
"2020-08-19",42180,42570,"rem"
"2020-08-19",42570,43320,"light"
"2020-08-19",43320,43650,"rem"
"2020-08-19",43650,45240,"light"
"2020-08-19",45240,45990,"wake"
"2020-08-19",45990,47760,"light"
"2020-08-20",26970,27000,"wake"
"2020-08-20",27000,30510,"light"
"2020-08-20",30510,30960,"deep"
"2020-08-20",30960,30990,"light"
"2020-08-20",30990,31800,"wake"
"2020-08-20",31800,32250,"light"
"2020-08-20",32250,32580,"rem"
"2020-08-20",32580,33750,"light"
"2020-08-20",33750,36210,"deep"
"2020-08-20",36210,36990,"wake"
"2020-08-20",36990,41550,"light"
"2020-08-20",41550,41820,"deep"
"2020-08-20",41820,41940,"light"
"2020-08-20",41940,42480,"rem"
"2020-08-20",42480,43710,"light"
"2020-08-20",43710,44970,"wake"
"2020-08-20",44970,48300,"light"
"2020-08-20",48300,48630,"rem"
"2020-08-20",48630,49860,"light"
"2020-08-20",49860,52290,"rem"
"2020-08-21",12540,12780,"wake"
"2020-08-21",12780,15690,"light"
"2020-08-21",15690,16110,"deep"
"2020-08-21",16110,16320,"light"
"2020-08-21",16320,16860,"rem"
"2020-08-21",16860,17010,"light"
"2020-08-21",17010,18510,"wake"
"2020-08-21",18510,21480,"light"
"2020-08-21",21480,22440,"rem"
"2020-08-21",22440,22980,"wake"
"2020-08-21",22980,25650,"light"
"2020-08-21",25650,26070,"rem"
"2020-08-21",26070,26220,"light"
"2020-08-21",31980,38610,"light"
"2020-08-21",38610,40140,"wake"
"2020-08-21",40140,41670,"light"
"2020-08-21",41670,43200,"deep"
"2020-08-21",43200,43470,"light"
"2020-08-21",43470,45810,"rem"
"2020-08-21",45810,49080,"light"
"2020-08-22",23040,23160,"awake"
"2020-08-22",23160,23460,"restless"
"2020-08-22",23460,29160,"asleep"
"2020-08-22",29160,29460,"restless"
"2020-08-22",29460,31080,"asleep"
"2020-08-22",35340,35640,"restless"
"2020-08-22",35640,35820,"asleep"
"2020-08-22",35820,35940,"restless"
"2020-08-22",35940,36660,"asleep"
"2020-08-22",36660,36840,"restless"
"2020-08-22",36840,37020,"asleep"
"2020-08-22",37020,37440,"restless"
"2020-08-22",37440,37560,"asleep"
"2020-08-22",37560,37620,"restless"
"2020-08-22",37620,41760,"asleep"
"2020-08-22",41760,41820,"restless"
"2020-08-22",41820,46080,"asleep"
"2020-08-23",270,300,"wake"
"2020-08-23",300,720,"light"
"2020-08-23",720,1110,"wake"
"2020-08-23",1110,1530,"light"
"2020-08-23",1530,2880,"deep"
"2020-08-23",2880,3510,"light"
"2020-08-23",3510,4110,"deep"
"2020-08-23",4110,5940,"light"
"2020-08-23",5940,6990,"wake"
"2020-08-23",6990,9870,"deep"
"2020-08-23",9870,13800,"light"
"2020-08-23",13800,14160,"rem"
"2020-08-23",14160,16170,"light"
"2020-08-23",16170,16380,"wake"
"2020-08-23",16380,18090,"light"
"2020-08-23",18090,22110,"rem"
"2020-08-23",83040,83370,"light"
"2020-08-23",83370,83730,"wake"
"2020-08-23",83730,86190,"light"
